company,partner_first_name,partner_last_name,equity_percent_first_round,equity_percent_second_round,ownership_percent
Fireeye,Jered,DaCosta,0.2,0.11,0.76
Fireeye,Jered,DaCosta,0.64,0.22,0.97
Fireeye,Jered,DaCosta,0.82,0.9,0.13
Fireeye,Jered,DaCosta,0.9,0.6,0.52
Fireeye,Jered,DaCosta,0.16,0.44,0.46
Fireeye,Jered,DaCosta,0.39,0.63,0.12
Fireeye,Jered,DaCosta,0.18,0.34,0.71
Fireeye,Jered,DaCosta,0.7,0.14,0.38
Fireeye,Jered,DaCosta,0.25,0.39,0.56
Fireeye,Jered,DaCosta,0.43,0.63,0.24
Fireeye,Jered,DaCosta,0.81,0.2,0.08
Fireeye,Jered,DaCosta,0.14,0.84,0.41
Fireeye,Jered,DaCosta,0.53,0.7,0.49
Fireeye,Jered,DaCosta,0.02,0.95,0.09
Fireeye,Jered,DaCosta,0.96,0.39,0.47
Fireeye,Jered,DaCosta,0.18,0.62,0.13
Fireeye,Jered,DaCosta,0.95,0.82,0.22
